period,account_code,account_name,debit,credit,cost_center,business_unit,currency,posting_ref,doc_type
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-015,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-015,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-016,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-016,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8816,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8816,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-016,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-016,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-016,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-016,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-016,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-016,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-016,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-016,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-016,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-016,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-016,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-016,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-016,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-016,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-016,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-016,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-017,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-017,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8817,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8817,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-017,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-017,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-017,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-017,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-017,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-017,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-017,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-017,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-017,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-017,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-017,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-017,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-017,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-017,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-017,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-017,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-018,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-018,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8818,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8818,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-018,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-018,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-018,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-018,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-018,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-018,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-018,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-018,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-018,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-018,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-018,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-018,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-018,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-018,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-018,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-018,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-019,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-019,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8819,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8819,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-019,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-019,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-019,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-019,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-019,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-019,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-019,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-019,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-019,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-019,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-019,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-019,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-019,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-019,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-019,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-019,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-020,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-020,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8820,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8820,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-020,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-020,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-020,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-020,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-020,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-020,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-020,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-020,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-020,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-020,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-020,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-020,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-020,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-020,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-020,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-020,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-021,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-021,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8821,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8821,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-021,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-021,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-021,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-021,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-021,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-021,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-021,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-021,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-021,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-021,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-021,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-021,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-021,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-021,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-021,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-021,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-022,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-022,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8822,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8822,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-022,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-022,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-022,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-022,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-022,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-022,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-022,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-022,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-022,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-022,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-022,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-022,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-022,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-022,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-022,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-022,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-023,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-023,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8823,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8823,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-023,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-023,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-023,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-023,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-023,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-023,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-023,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-023,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-023,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-023,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-023,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-023,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-023,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-023,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-023,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-023,BILL
2026-08,4000,Sales Revenue,,18250.00,sales_north,bu-manu,USD,INV-2026-08-024,INVOICE
2026-08,1200,Accounts Receivable,18250.00,,sales_north,bu-manu,USD,INV-2026-08-024,INVOICE
2026-08,4100,Direct Materials,,9125.00,plant_a,bu-manu,USD,PO-8824,PURCHASE
2026-08,2000,Accounts Payable,9125.00,,plant_a,bu-manu,USD,PO-8824,PURCHASE
2026-08,4200,Direct Labor,,1825.00,plant_a,bu-manu,USD,PAY-024,PAYROLL
2026-08,2100,Accrued Expenses,1825.00,,plant_a,bu-manu,USD,PAY-024,PAYROLL
2026-08,5000,Salaries & Wages,,3650.00,corp,bu-manu,USD,PAY-024,PAYROLL
2026-08,2100,Accrued Expenses,3650.00,,corp,bu-manu,USD,PAY-024,PAYROLL
2026-08,5200,Utilities,,456.25,plant_a,bu-manu,USD,UTIL-024,BILL
2026-08,2000,Accounts Payable,456.25,,plant_a,bu-manu,USD,UTIL-024,BILL
2026-08,5300,Insurance,,304.16,corp,bu-manu,USD,INS-024,BILL
2026-08,2000,Accounts Payable,304.16,,corp,bu-manu,USD,INS-024,BILL
2026-08,5500,Travel & Entertainment,,73.00,corp,bu-manu,USD,T&E-024,EXPENSE
2026-08,2000,Accounts Payable,73.00,,corp,bu-manu,USD,T&E-024,EXPENSE
2026-08,5400,Depreciation,,608.33,plant_a,bu-manu,USD,DEP-024,DEPRECIATION
2026-08,1700,Property & Equipment,608.33,,plant_a,bu-manu,USD,DEP-024,DEPRECIATION
2026-08,1300,Inventory,,4562.50,plant_a,bu-manu,USD,STK-024,JOURNAL
2026-08,4100,Direct Materials,4562.50,,plant_a,bu-manu,USD,STK-024,JOURNAL
2026-08,5100,Rent,,228.12,corp,bu-manu,USD,RENT-024,BILL
2026-08,2000,Accounts Payable,228.12,,corp,bu-manu,USD,RENT-024,BILL
